artist,author,gernes,heart,name,star,view,words
Sena Monako,Okazawa Juzen,"Action,Adventure,Comedy,Drama,Ecchi,Fantasy,Harem,Romance", 879 ,Yonaoshi Ankoku Shin no Honsou –Ningen sukisugite ningen ni tensei shi ta–,4.8,247259,38083
Midorikawa You,Fast; fasuto(ファースト),"Action,Adult,Comedy,Ecchi,Harem,Mature,Romance,Seinen", 113 ,Bocchi Tenseiki,3.7,17521,4200
N/A,Watanabe Tsunehiko,"Adventure,Comedy,Fantasy,Romance,Slice of Life,Ecchi,Harem", 238 ,Risou no Himo Seikatsu,5,43085,73645
N/A,Lee Sungjin (성진저),"Action,Adventure,Fantasy", 48 ,One Man Army,5,12503,6049
Korie Riko,Tsukasa,"Fantasy,Harem,Action,Adventure,Ecchi,Supernatural", 289 ,Unlimited Fafnir,5,97067,431945
N/A,Ezo Gingitsune えぞぎんぎつね,"Action,Adventure,Fantasy", 239 ,Koko wa Ore ni Makasete Saki ni Ike to Itte kara 10 Nen ga Tattara Densetsu ni Natteita,4.8,46640,10355
Ichiri,Tsukiyo Rui,"Adventure,Comedy,Ecchi,Fantasy,Slice of Life,Adapted to Manga,Isekai,Shounen", 586 ,Slime Tensei. Taikensha ga Youjo Elf ni Dakishimeraretemasu,4.7,59627,39067
N/A,しっちぃ,"Shoujo ai,Slice of Life", 105 ,Me and my beloved cat (girlfriend),3.8,20257,9279
N/A,Ikkuiku,"Action,Adventure,Comedy,Fantasy,Harem,Isekai,Mystery, Romance,Shounen", 144 ,Monster Musume Harem wo Tsukurou!,5,18820,10012
UNKNOWN,とりまる,"Adventure,Ecchi,Fantasy,Gender Bender,Mature", 137 ,Elf-san with Master,4.3,22157,1646
N/A,Nam Hi-sung,"Action,Adventure,Comedy,Drama,Fantasy,School Life,Science Fiction,Romance", 1103 ,Legendary Moonlight Sculptor,4.9,2434486,2725961
Sakana,Nyun,"Comedy,Fantasy,School Life", 434 ,"Isekai ni Tensei Shitandakedo Ore, Tensai tte Kanchigai Saretenai ?",4.5,93980,30631
N/A,Kuro Inukami (黒犬神),"Adventure,Comedy,Fantasy,Harem,Shoujo,Shoujo ai,Web Novel", 171 ,Yuusha Ga Onna Da to Dame Desu Ka?,5,26509,5699
Mitsuki Yano,Touwa Akatsuki,"Action,Adventure,Comedy,Fantasy,Harem,Mature,Romance,Ecchi", 434 ,"Commushou no Ore ga, Koushou Skill ni Zenfurishite Tenseishita Kekka",4.5,46987,7177
Lack,Ido Masayoshi,"Action,Adventure,Fantasy,Romance", 541 ,Yobidasareta Satsuriku-sha,3.8,94838,56631
Katsumi Enami,Junpei Inuzuka,"Adventure,Fantasy,Mystery,Slice of Life", 61 ,Isekai Shokudou,5,10777,9367
N/A,글쟁이S,"Action,Adult,Adventure,Fantasy", 59 ,Hunter of the Ruined World,5,13589,8056
Eiri Shirai,Ao Jyumonji,"Action,Adventure,Drama,Fantasy,Romance,Tragedy", 380 ,Hai to Gensou no Grimgar,5,96682,97969
N/A,Kataoka Naotaro,"Action,Adventure,Comedy,Fantasy,Harem,Isekai,Slice of Life,Tragedy,Web Novel", 353 ,Reincarnation into the Barrier Master,4.4,80198,21121
N/A,九頭七尾,"Action,Comedy,Fantasy,One shot,Supernatural,Web Novel", 35 ,"Because My Toilet Turned Into a Dungeon, Taking Care of My Business Has Become too Difficult",4.8,17371,1995
Mahaya,Kamachi Kazuma,"Action,Comedy,Drama,Fantasy,Harem,Romance,Science Fiction,Shounen", 148 ,My Vampire Older Sister and Zombie Little Sister,4.5,15397,22258
N/A,Nanasawa Matari,"Action,Fantasy,Mature,Web Novel", 237 ,Shinigami wo Tabeta Shoujo,4.9,61408,139428
イセ川ヤスタカ,ちんくるり,"Action,Adventure,Comedy,Ecchi,Fantasy,Harem,Web Novel", 442 ,Using Gacha to Increase My Companions and to Create the Strongest Girls’ Army Corps,4.6,76166,29845
N/A,철종금 / Cheol Jonggeum,"Action,Adventure,Drama,Fantasy,Psychological,Supernatural,Isekai,Web Novel", 282 ,I am the Monarch,4.8,109359,34921
Sazanami Mio,Kon Hoshizaki,"Adventure,Fantasy,Harem,Isekai,Web Novel", 237 ,Netooku Otoko no Tanoshii Isekai Boueki,5,25317,17341
Luna,Mishima Yomu,"Action,Adventure,Fantasy,Harem", 642 ,Dragoon,4.7,288992,83432
Yukino Amagai,Kasa Sakaki,"Action,Adventure,Comedy,Ecchi,Gender Bender,Harem,Mature,Romance,School Life,Supernatural", 334 ,Adolescent Adam,4.1,83882,42899
N/A,YOSHIOKA TSUYOSHI,"Action,Adventure,Fantasy,Romance,School Life,Shounen", 350 ,Magi's grandson,4.9,36058,31947
N/A,Touzai Tasuke,"Adult,Ecchi,Mature,Supernatural,Incest,One shot", 596 ,"Triệu hồi succubus, em gái tôi xuất hiện!",5,80219,7132
N/A,로드워리어 (Road Warrior),"Action,Adventure,Fantasy,Mature,Mystery,Super Power,Tragedy", 199 ,Main Character Hides His Strength,5,44417,35940
N/A,Idle Fish Goes Ashore,"Adventure,Fantasy,Harem,Romance,School Life,Supernatural", 85 ,NEET Receives a Dating Sim Game Leveling System,5,18550,13683
N/A,Chwiryong,"Action,Adventure,Drama,Fantasy,Harem,Mystery,Psychological,Romance,Supernatural", 209 ,Breakers,4,30306,15031
Không có,Makafushigi-man,"Adult,Drama,Mature,Netorare,Psychological,School Life", 120 ,Magic Warrior White・Love!,2.4,31909,20461
N/A,Ái Tiềm Thủy Đích Ô Tặc,"Action,Adventure,Drama,Fantasy,Horror,Mature,Psychological,Seinen,Tragedy,Chinese Novel,Mystery,Supernatural,Historical", 571 ,Lord of the Mysteries,4.8,167304,202795
Kagawa Ichigo,Takamine Kakeru,"Comedy,Romance,School Life,Slice of Life", 625 ,Cách để khiến trái tim của Nữ Hoàng Băng Giá tan chảy,4.9,17979,17929
Shiina Kuro,Epanteriasu,"Comedy,Romance,School Life,Shounen,Slice of Life", 686 ,"My Sister’s Best Friend? My Female Friend Already? Then, What’s Next―?",5,17520,5421
